id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,px_height_bin3,px_width_bin3,Mobile_wt_bin3,m_dep_bin3,size_screen,px_res,mobile_g
1,1043,1,1.8,1,14,0,5,0.1,193,3,16,226,1412,3476,12,7,2,0,1,0,0,1,2,0,4.442651256490317,319112,0
2,841,1,0.5,1,4,1,61,0.8,191,5,12,746,857,3895,6,0,7,1,0,0,1,0,2,2,0.0,639322,1
3,1807,1,2.8,0,1,0,27,0.9,186,3,4,1270,1366,2396,17,10,10,0,1,1,1,1,2,2,5.14166355650266,1734820,0
4,1546,0,0.5,1,18,1,25,0.5,96,8,20,295,1752,3893,10,0,7,1,1,0,0,2,0,1,0.0,516840,1
5,1434,0,1.4,0,11,1,49,0.5,108,6,18,749,810,1773,15,8,7,1,0,1,1,0,0,1,4.795790545596741,606690,1
6,1464,1,2.9,1,5,1,50,0.8,198,8,9,569,939,3506,10,7,3,1,1,1,0,0,2,2,4.2626798770413155,534291,1
7,1718,0,2.4,0,1,0,47,1.0,156,2,3,1283,1374,3873,14,2,10,0,0,0,2,1,1,2,3.367295829986474,1762842,0
8,833,0,2.4,1,0,0,62,0.8,111,1,2,1312,1880,1495,7,2,18,0,1,1,2,2,0,2,2.70805020110221,2466560,0
9,1111,1,2.9,1,9,1,25,0.6,101,5,19,556,876,3485,11,9,10,1,1,0,0,0,0,1,4.605170185988092,487056,1
10,1520,0,0.5,0,1,0,25,0.5,171,3,20,52,1009,651,6,0,5,1,0,1,0,1,2,1,0.0,52468,1
11,1500,0,2.2,0,2,0,55,0.6,80,7,6,503,1336,3866,13,7,20,0,1,0,0,1,0,1,4.5217885770490405,672008,0
12,1343,0,2.9,0,2,1,34,0.8,171,3,6,235,1671,3911,15,8,8,1,1,1,0,2,2,2,4.795790545596741,392685,1
13,900,1,1.4,1,0,0,30,1.0,87,2,3,829,1893,439,6,2,20,1,0,0,1,2,0,2,2.5649493574615367,1569297,1
14,1190,1,2.2,1,5,0,19,0.9,158,5,15,227,1856,992,13,0,16,1,1,0,0,2,1,2,0.0,421312,1
15,630,0,1.8,0,8,1,51,0.9,193,8,9,1315,1323,2751,17,6,3,1,1,0,2,1,2,2,4.634728988229636,1739745,1
16,1846,1,1.0,0,5,1,53,0.7,106,8,7,185,1832,563,9,5,10,1,0,1,0,2,0,1,3.828641396489095,338920,1
17,1985,0,0.5,1,14,1,26,1.0,163,2,17,613,1511,2083,13,3,14,1,1,0,0,2,2,2,3.6888794541139363,926243,1
18,1042,0,2.9,0,5,1,48,0.2,186,4,15,335,532,2187,9,2,5,1,0,0,0,0,2,0,2.9444389791664403,178220,1
19,1231,1,1.7,1,2,1,37,0.2,194,2,3,82,1771,3902,19,12,15,1,0,1,0,2,2,0,5.43372200355424,145222,1
20,1488,0,2.6,0,9,0,37,0.7,189,4,20,47,559,2524,5,0,6,0,0,0,0,0,2,1,0.0,26273,0
